date,title,budget ,domestic_gross,world_gross
2000-10-27,Book of Shadows: Blair Witch 2,15000000,26421314,47721314
2000-10-27,The Little Vampire,22000000,13555988,13555988
2000-10-27,Lucky Numbers,65000000,10014234,10014234
2000-11-03,Charlies Angels,90000000,125305545,259736090
2000-11-03,The Legend of Bagger Vance,60000000,30695227,39235486
2000-11-10,Men of Honor,32000000,48814909,82339483
2000-11-10,Little Nicky,80000000,39442871,58270391
2000-11-10,Red Planet,80000000,17480890,33463969
2000-11-17,How the Grinch Stole Christmas,120000000,260044825,345141403
2000-11-17,Rugrats in Paris,30000000,76501438,103284813
2000-11-17,Bounce,35000000,36805288,53425292
2000-11-17,The 6th Day,82000000,34543701,96024898
2000-11-22,Unbreakable,73000000,94999143,248099143
2000-11-22,102 Dalmatians,85000000,66941559,66941559
2000-12-08,"Crouching Tiger, Hidden Dragon",15000000,128067808,213514672
2000-12-08,Vertical Limit,75000000,68473360,213500000
2000-12-08,Proof of Life,65000000,32598931,62761005
2000-12-08,Snatch,10000000,30093107,83593107
2000-12-08,Dungeons and Dragons,35000000,15185241,33771965
2000-12-15,What Women Want,65000000,182805123,374105123
2000-12-15,The Emperors New Groove,100000000,89296573,169296573
2000-12-15,Chocolat,25000000,71309760,152500343
2000-12-15,"Dude, Wheres My Car?",13000000,46729374,73180297
2000-12-19,Finding Forrester,43000000,51768623,80013623
2000-12-19,The Gift,10000000,12008642,44567606
2000-12-22,Cast Away,85000000,233632142,427230516
2000-12-22,Miss Congeniality,45000000,106807667,213420951
2000-12-22,The Family Man,60000000,75764085,124715863
2000-12-22,"O Brother, Where Art Thou?",26000000,45506619,75763814
2000-12-22,Thirteen Days,80000000,34566746,66554547
2000-12-22,Dracula 2000,28000000,33000377,33000377
2000-12-22,All the Pretty Horses,45000000,15527125,18120267
2000-12-27,Traffic,48000000,124107476,208300000
2001-01-12,Save the Last Dance,13000000,91038276,122244329
2001-01-12,Double Take,24000000,29823162,29823162
2001-01-12,Antitrust,30000000,10965209,17865209
2001-01-19,The Pledge,45000000,19719930,29406132
2001-01-26,The Wedding Planner,28000000,60400856,94728529
2001-02-02,Valentine,10000000,20384136,20384136
2001-02-02,Head Over Heels,14000000,10397365,10397365
2001-02-09,Hannibal,86000000,165092266,350100280
2001-02-09,Saving Silverman,22000000,19351569,25873142
2001-02-16,Down to Earth,30000000,64172251,71172251
2001-02-16,Recess: Schools Out,10000000,36696761,44451470
2001-02-16,Sweet November,40000000,25288103,65754228
2001-02-23,3000 Miles to Graceland,61000000,15738632,18708848
2001-03-02,The Mexican,40000000,66808615,145238250
2001-03-02,See Spot Run,16000000,33357476,43057552
2001-03-09,15 Minutes,42000000,24375436,56331864
2001-03-09,Get Over It,10000000,11560259,19860259
2001-03-16,Exit Wounds,33000000,51758599,79958599
2001-03-16,Enemy at the Gates,85000000,51396781,96971293
2001-03-16,Memento,5000000,25544867,39723096
2001-03-23,Heartbreakers,38000000,40334024,57753825
2001-03-23,The Brothers,6000000,27457409,27958191
2001-03-30,Spy Kids,35000000,112692062,197692062
2001-03-30,Someone Like You,23000000,27338033,38684906
2001-03-30,Tomcats,11000000,13558739,13558739
2001-03-30,The Tailor of Panama,18000000,13491653,27491653
